brand,model,year_from,year_to,country,is_popular
Dodge,"Ram 2500",2002,2025,USA,0
Dodge,"Ram 3500",2002,2025,USA,0
Dodge,"Ram SRT10",2004,2007,USA,0
Dodge,Stratus,2001,2006,USA,0
Dodge,Viper,1996,2017,USA,0
Dongfeng,580,2016,2025,Other,0
Dongfeng,A30,2014,2017,Other,0
Dongfeng,"Aeolus AX7",2022,2025,Other,0
Dongfeng,"Aeolus Yixuan MAX",2021,2025,Other,0
Dongfeng,AX7,2014,2020,Other,0
Dongfeng,"Fengon 5",2020,2025,Other,0
Dongfeng,"Fengon 7",2020,2025,Other,0
Dongfeng,"H30 Cross",2013,2018,Other,0
Dongfeng,"Rich 6",2018,2025,Other,0
Exeed,TXL,2019,2025,Other,0
Exeed,VX,2020,2025,Other,0
FAW,"Bestune B70",2020,2025,Other,0
FAW,"Bestune T55",2021,2025,Other,0
FAW,"Bestune T77",2019,2025,Other,0
FAW,"Bestune T99",2020,2025,Other,0
FAW,"Besturn B30",2016,2020,Other,0
FAW,"Besturn B50",2009,2016,Other,0
FAW,"Besturn X40",2017,2025,Other,0
FAW,"Besturn X80",2014,2025,Other,0
FAW,Oley,2012,2018,Other,0
FAW,Vita,2006,2012,Other,0
Ferrari,296,2022,2025,Italy,0
Ferrari,348,1993,1995,Italy,0
Ferrari,360,1999,2005,Italy,0
Ferrari,456,1992,2003,Italy,0
Ferrari,458,2009,2016,Italy,0
Ferrari,488,2015,2020,Italy,0
Ferrari,512,1991,2004,Italy,0
Ferrari,550,1996,2002,Italy,0
Ferrari,"575 M",2002,2006,Italy,0
Ferrari,"599 GTB Fiorano",2006,2012,Italy,0
Ferrari,"599 GTO",2010,2012,Italy,0
Ferrari,612,2004,2011,Italy,0
Ferrari,812,2017,2025,Italy,0
Ferrari,California,2008,2014,Italy,0
Ferrari,"California T",2014,2017,Italy,0
Ferrari,"Challenge Stradale",2003,2003,Italy,0
Ferrari,Enzo,2002,2004,Italy,0
Ferrari,F12,2012,2017,Italy,0
Ferrari,F355,1994,1999,Italy,0
Ferrari,F430,2004,2010,Italy,0
Ferrari,F50,1995,1997,Italy,0
Ferrari,"F512 M",1994,1996,Italy,0
Ferrari,"F8 Spider",2019,2023,Italy,0
Ferrari,"F8 Tributo",2019,2023,Italy,0
Ferrari,FF,2011,2017,Italy,0
Ferrari,"GTC4 Lusso",2016,2020,Italy,0
Ferrari,LaFerrari,2013,2015,Italy,0
Ferrari,Portofino,2017,2021,Italy,0
Ferrari,"Portofino M",2020,2025,Italy,0
Ferrari,Roma,2020,2025,Italy,0
Ferrari,"SF90 Spider",2020,2025,Italy,0
