brand;model;year_from;year_to;description;is_popular;country
Geely;"Emgrand EC7";;;;1;China
Geely;"Emgrand GS";;;;1;China
Geely;"Emgrand GSe";;;;1;China
Geely;"Emgrand X7";;;;1;China
Geely;GC9;;;;1;China
Geely;"Geometry C";;;;1;China
Geely;GС6;;;;1;China
Geely;MK;;;;1;China
Geely;Monjaro;;;;1;China
Geely;Okavango;;;;1;China
Geely;Otaka;;;;1;China
Geely;Preface;;;;1;China
Geely;Tugella;;;;1;China
Geely;Vision;;;;1;China
Genesis;G70;;;;1;"South Korea"
Genesis;G80;;;;1;"South Korea"
Genesis;G90;;;;1;"South Korea"
Genesis;GV60;;;;1;"South Korea"
Genesis;GV70;;;;1;"South Korea"
Genesis;GV80;;;;1;"South Korea"
GMC;Acadia;;;;1;USA
GMC;Canyon;;;;1;USA
GMC;Envoy;;;;1;USA
GMC;"Hummer EV";;;;1;USA
GMC;"Sierra 1500";;;;1;USA
GMC;"Sierra 2500";;;;1;USA
GMC;"Sierra 3500";;;;1;USA
GMC;Terrain;;;;1;USA
GMC;Yukon;;;;1;USA
"Great Wall";Cowry;;;;1;China
"Great Wall";Deer;;;;1;China
"Great Wall";Hover;;;;1;China
"Great Wall";"Hover M2";;;;1;China
"Great Wall";Pegasus;;;;1;China
"Great Wall";Peri;;;;1;China
"Great Wall";Poer;;;;1;China
"Great Wall";"Poer King Kong";;;;1;China
"Great Wall";Safe;;;;1;China
"Great Wall";Sailor;;;;1;China
"Great Wall";Sing;;;;1;China
"Great Wall";Socool;;;;1;China
"Great Wall";Wingle;;;;1;China
"Great Wall";"Wingle 7";;;;1;China
Haval;"Cool Dog";;;;1;China
Haval;Dargo;;;;1;China
Haval;"Dargo X";;;;1;China
Haval;F7;;;;1;China
Haval;F7x;;;;1;China
Haval;H4;;;;1;China
Haval;H6;;;;1;China
Haval;H9;;;;1;China
Haval;Jolion;;;;1;China
Haval;"M6 Plus";;;;1;China
Holden;Commodore;;;;1;Other
Holden;"Corvette C8";;;;1;Other
Honda;Accord;;;;1;Japan
Honda;Amaze;;;;1;Japan
Honda;City;;;;1;Japan
Honda;Civic;;;;1;Japan
Honda;"Civic Type R";;;;1;Japan
Honda;CR-V;;;;1;Japan
Honda;CR-Z;;;;1;Japan
Honda;Crosstour;;;;1;Japan
Honda;e;;;;1;Japan
Honda;Edix;;;;1;Japan
Honda;Element;;;;1;Japan
Honda;Fit;;;;1;Japan
Honda;FR-V;;;;1;Japan
Honda;HR-V;;;;1;Japan
Honda;Insight;;;;1;Japan
Honda;Jade;;;;1;Japan
Honda;Jazz;;;;1;Japan
Honda;"Jazz Crosstar";;;;1;Japan
Honda;Legend;;;;1;Japan
Honda;Odyssey;;;;1;Japan
Honda;Passport;;;;1;Japan
Honda;Pilot;;;;1;Japan
Honda;Prelude;;;;1;Japan
Honda;Ridgeline;;;;1;Japan
Honda;S2000;;;;1;Japan
Honda;Shuttle;;;;1;Japan
Honda;Stepwgn;;;;1;Japan
Honda;Stream;;;;1;Japan
Honda;Vezel;;;;1;Japan
Hongqi;E-HS9;;;;1;China
Hongqi;H5;;;;1;China
Hummer;H1;;;;1;USA
Hummer;H2;;;;1;USA
Hummer;H3;;;;1;USA
Hyundai;Accent;;;;1;"South Korea"
Hyundai;"Atos Prime";;;;1;"South Korea"
Hyundai;Azera;;;;1;"South Korea"
Hyundai;Bayon;;;;1;"South Korea"
Hyundai;Centennial;;;;1;"South Korea"
Hyundai;Creta;;;;1;"South Korea"
Hyundai;"Creta Grand";;;;1;"South Korea"
Hyundai;Elantra;;;;1;"South Korea"
Hyundai;Entourage;;;;1;"South Korea"
Hyundai;Eon;;;;1;"South Korea"
Hyundai;Equus;;;;1;"South Korea"
Hyundai;Galloper;;;;1;"South Korea"
Hyundai;Genesis;;;;1;"South Korea"
Hyundai;"Genesis Coupe";;;;1;"South Korea"
Hyundai;Getz;;;;1;"South Korea"
Hyundai;Grandeur;;;;1;"South Korea"
Hyundai;H-1;;;;1;"South Korea"
Hyundai;i10;;;;1;"South Korea"
Hyundai;i20;;;;1;"South Korea"
Hyundai;"i20 N";;;;1;"South Korea"
Hyundai;i30;;;;1;"South Korea"
Hyundai;"i30 N";;;;1;"South Korea"
Hyundai;i40;;;;1;"South Korea"
Hyundai;Ioniq;;;;1;"South Korea"
Hyundai;"Ioniq 5";;;;1;"South Korea"
Hyundai;"Ioniq 6";;;;1;"South Korea"
Hyundai;ix20;;;;1;"South Korea"
Hyundai;ix35;;;;1;"South Korea"
Hyundai;Kona;;;;1;"South Korea"
Hyundai;"Kona N";;;;1;"South Korea"
Hyundai;Kusto;;;;1;"South Korea"
Hyundai;Matrix;;;;1;"South Korea"
Hyundai;Mistra;;;;1;"South Korea"
Hyundai;Nexo;;;;1;"South Korea"
Hyundai;Palisade;;;;1;"South Korea"
Hyundai;Porter;;;;1;"South Korea"
Hyundai;"Santa Cruz";;;;1;"South Korea"
Hyundai;"Santa Fe";;;;1;"South Korea"
Hyundai;Solaris;;;;1;"South Korea"
Hyundai;Sonata;;;;1;"South Korea"
Hyundai;Staria;;;;1;"South Korea"
Hyundai;Terracan;;;;1;"South Korea"
Hyundai;Trajet;;;;1;"South Korea"
Hyundai;Tucson;;;;1;"South Korea"
Hyundai;Veloster;;;;1;"South Korea"
Hyundai;Venue;;;;1;"South Korea"
Hyundai;Veracruz;;;;1;"South Korea"
Hyundai;Verna;;;;1;"South Korea"
Hyundai;Xcent;;;;1;"South Korea"
Hyundai;XG;;;;1;"South Korea"
Infiniti;EX;;;;1;Japan
Infiniti;FX;;;;1;Japan
Infiniti;G;;;;1;Japan
Infiniti;I35;;;;1;Japan
Infiniti;JX;;;;1;Japan
Infiniti;M;;;;1;Japan
Infiniti;Q30;;;;1;Japan
Infiniti;Q40;;;;1;Japan
Infiniti;Q45;;;;1;Japan
Infiniti;Q50;;;;1;Japan
